,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
409,GB,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.25,0.234,4.001,0.469,0.633,0.78,2.076,0.534,7.975,0.469
410,GB,Copper products,Secondary,49,0.19,0.174,5.253,0.404,0.56,0.683,2.394,0.615,10.958,0.404
411,GB,"Lead, zinc and tin and products thereof",Secondary,49,0.298,0.283,3.361,0.444,0.8,0.869,1.751,0.45,5.759,0.308
412,GB,Other non-ferrous metal products,Secondary,49,0.477,0.466,2.095,0.682,0.817,0.865,1.442,0.37,4.227,0.682
413,GB,Precious metals,Secondary,49,0.338,0.324,2.956,0.561,0.751,0.827,1.806,0.464,6.084,0.561
414,GB,Aluminium ores and concentrates,Primary,19,0.315,0.277,3.176,0.534,0.715,0.845,1.698,0.577,5.464,0.0
415,GB,Copper ores and concentrates,Primary,27,0.696,0.684,1.437,0.832,0.911,0.946,0.825,0.25,2.281,0.0
416,GB,"Lead, zinc and tin ores and concentrates",Primary,31,0.51,0.493,1.963,0.705,0.839,0.914,1.25,0.364,3.491,0.072
417,GB,Nickel ores and concentrates,Primary,23,0.202,0.166,4.95,0.281,0.751,0.872,1.841,0.587,6.3,0.0
418,GB,Other non-ferrous metal ores and concentrates,Primary,35,0.679,0.669,1.474,0.821,0.905,0.932,0.902,0.254,2.465,0.821
419,GB,Precious metal ores and concentrates,Primary,29,0.115,0.083,8.714,0.189,0.485,0.673,2.406,0.715,11.091,0.002
420,US,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.828,0.823,1.207,0.909,0.96,0.982,0.476,0.133,1.61,0.909
421,US,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.829,0.825,1.206,0.909,0.974,0.99,0.456,0.117,1.578,0.909
422,US,Machinery and equipment n.e.c. (29),Tertiary,31,0.99,0.99,1.01,0.995,0.998,0.998,0.041,0.012,1.041,0.995
423,US,Aluminium and aluminium products,Secondary,49,0.478,0.467,2.091,0.648,0.937,0.971,1.1,0.283,3.004,0.648
424,US,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.81,0.806,1.235,0.898,0.962,0.983,0.518,0.133,1.679,0.898
425,US,Copper products,Secondary,49,0.237,0.221,4.215,0.45,0.637,0.755,2.032,0.522,7.632,0.45
426,US,"Lead, zinc and tin and products thereof",Secondary,49,0.31,0.296,3.227,0.512,0.798,0.897,1.673,0.43,5.329,0.136
427,US,Other non-ferrous metal products,Secondary,49,0.718,0.713,1.392,0.845,0.928,0.955,0.773,0.199,2.166,0.845
428,US,Precious metals,Secondary,49,0.546,0.536,1.833,0.73,0.855,0.95,1.143,0.294,3.137,0.73
429,US,Aluminium ores and concentrates,Primary,19,0.228,0.186,4.378,0.352,0.725,0.866,1.808,0.614,6.099,0.352
430,US,Copper ores and concentrates,Primary,27,0.282,0.254,3.546,0.404,0.814,0.909,1.643,0.498,5.169,0.404
431,US,"Lead, zinc and tin ores and concentrates",Primary,31,0.856,0.851,1.168,0.925,0.96,0.979,0.431,0.126,1.539,0.925
432,US,Nickel ores and concentrates,Primary,23,0.339,0.309,2.95,0.551,0.759,0.905,1.558,0.497,4.748,0.0
433,US,Other non-ferrous metal ores and concentrates,Primary,35,0.235,0.212,4.256,0.4,0.717,0.794,1.996,0.561,7.359,0.017
434,US,Precious metal ores and concentrates,Primary,29,0.141,0.11,7.085,0.242,0.584,0.759,2.24,0.665,9.395,0.157
435,JP,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.512,0.498,1.955,0.688,0.928,0.979,1.041,0.29,2.831,0.688
436,JP,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.524,0.514,1.908,0.711,0.886,0.965,1.125,0.289,3.081,0.711
437,JP,Machinery and equipment n.e.c. (29),Tertiary,31,0.847,0.842,1.18,0.92,0.966,0.975,0.445,0.13,1.56,0.0
438,JP,Aluminium and aluminium products,Secondary,49,0.416,0.403,2.406,0.569,0.918,0.957,1.23,0.316,3.422,0.569
439,JP,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.445,0.434,2.245,0.635,0.908,0.961,1.234,0.317,3.436,0.635
440,JP,Copper products,Secondary,49,0.558,0.549,1.791,0.736,0.899,0.963,1.062,0.273,2.893,0.736
441,JP,"Lead, zinc and tin and products thereof",Secondary,49,0.412,0.4,2.426,0.6,0.892,0.974,1.259,0.323,3.522,0.6
442,JP,Other non-ferrous metal products,Secondary,49,0.681,0.674,1.468,0.819,0.938,0.966,0.792,0.204,2.208,0.819
443,JP,Precious metals,Secondary,49,0.618,0.61,1.617,0.772,0.984,0.992,0.779,0.2,2.179,0.772
444,JP,Aluminium ores and concentrates,Primary,19,0.237,0.195,4.218,0.36,0.764,0.878,1.771,0.602,5.878,0.0
445,JP,Copper ores and concentrates,Primary,27,0.277,0.249,3.607,0.414,0.835,0.9,1.648,0.5,5.199,0.0
446,JP,"Lead, zinc and tin ores and concentrates",Primary,31,0.483,0.466,2.069,0.677,0.882,0.944,1.221,0.356,3.392,0.0
447,JP,Nickel ores and concentrates,Primary,23,0.417,0.39,2.399,0.506,0.935,0.972,1.106,0.353,3.023,0.0
448,JP,Other non-ferrous metal ores and concentrates,Primary,35,0.638,0.627,1.568,0.778,0.982,0.99,0.709,0.199,2.032,0.778
449,JP,Precious metal ores and concentrates,Primary,29,0.873,0.868,1.146,0.934,0.971,0.986,0.367,0.109,1.443,0.934
450,CN,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.885,0.882,1.13,0.94,0.971,0.986,0.348,0.097,1.416,0.94
451,CN,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.872,0.87,1.146,0.934,0.97,0.982,0.391,0.1,1.479,0.934
452,CN,Machinery and equipment n.e.c. (29),Tertiary,31,0.695,0.684,1.44,0.829,0.925,0.949,0.805,0.234,2.237,0.002
453,CN,Aluminium and aluminium products,Secondary,49,0.956,0.955,1.046,0.978,0.99,0.994,0.154,0.04,1.166,0.978
454,CN,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.84,0.837,1.19,0.916,0.964,0.977,0.464,0.119,1.59,0.916
455,CN,Copper products,Secondary,49,0.546,0.537,1.83,0.731,0.856,0.935,1.186,0.305,3.274,0.731
456,CN,"Lead, zinc and tin and products thereof",Secondary,49,0.97,0.969,1.031,0.985,0.993,0.996,0.112,0.029,1.118,0.985
457,CN,Other non-ferrous metal products,Secondary,49,0.912,0.91,1.097,0.955,0.969,0.977,0.304,0.078,1.355,0.955
458,CN,Precious metals,Secondary,49,0.368,0.355,2.715,0.577,0.794,0.872,1.612,0.414,5.014,0.577
459,CN,Aluminium ores and concentrates,Primary,19,0.303,0.264,3.301,0.461,0.828,0.955,1.503,0.51,4.494,0.461
460,CN,Copper ores and concentrates,Primary,27,0.798,0.79,1.254,0.891,0.961,0.982,0.531,0.161,1.7,0.891
461,CN,"Lead, zinc and tin ores and concentrates",Primary,31,0.354,0.332,2.826,0.551,0.835,0.944,1.458,0.424,4.295,0.551
462,CN,Nickel ores and concentrates,Primary,23,0.318,0.287,3.145,0.453,0.841,0.923,1.48,0.472,4.393,0.322
463,CN,Other non-ferrous metal ores and concentrates,Primary,35,0.838,0.833,1.193,0.914,0.97,0.983,0.455,0.128,1.576,0.914
464,CN,Precious metal ores and concentrates,Primary,29,0.842,0.836,1.188,0.917,0.964,0.979,0.46,0.137,1.584,0.917
465,CA,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.524,0.51,1.909,0.702,0.929,0.963,1.064,0.297,2.898,0.162
466,CA,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.631,0.623,1.585,0.783,0.937,0.969,0.867,0.223,2.381,0.13
467,CA,Machinery and equipment n.e.c. (29),Tertiary,31,0.906,0.903,1.104,0.952,0.985,0.992,0.28,0.082,1.324,0.0
468,CA,Aluminium and aluminium products,Secondary,49,0.268,0.253,3.732,0.349,0.866,0.912,1.696,0.436,5.452,0.349
469,CA,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.297,0.283,3.361,0.415,0.831,0.879,1.685,0.433,5.39,0.343
470,CA,Copper products,Secondary,49,0.199,0.182,5.025,0.385,0.63,0.754,2.205,0.566,9.067,0.062
471,CA,"Lead, zinc and tin and products thereof",Secondary,49,0.314,0.299,3.189,0.425,0.821,0.88,1.621,0.417,5.059,0.357
472,CA,Other non-ferrous metal products,Secondary,49,0.169,0.152,5.919,0.256,0.687,0.786,2.215,0.569,9.165,0.245
473,CA,Precious metals,Secondary,49,0.203,0.186,4.933,0.407,0.586,0.733,2.167,0.557,8.728,0.051
474,CA,Aluminium ores and concentrates,Primary,19,0.204,0.16,4.894,0.398,0.601,0.779,2.001,0.68,7.398,0.0
475,CA,Copper ores and concentrates,Primary,27,0.202,0.172,4.943,0.299,0.723,0.816,1.968,0.597,7.153,0.0
476,CA,"Lead, zinc and tin ores and concentrates",Primary,31,0.753,0.745,1.327,0.866,0.926,0.958,0.699,0.203,2.011,0.004
477,CA,Nickel ores and concentrates,Primary,23,0.424,0.397,2.361,0.507,0.936,0.964,1.103,0.352,3.014,0.0
478,CA,Other non-ferrous metal ores and concentrates,Primary,35,0.19,0.166,5.265,0.396,0.6,0.679,2.305,0.648,10.024,0.02
479,CA,Precious metal ores and concentrates,Primary,29,0.198,0.169,5.05,0.336,0.727,0.821,2.006,0.596,7.436,0.2
480,KR,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.336,0.317,2.975,0.478,0.877,0.947,1.425,0.398,4.158,0.478
481,KR,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.26,0.244,3.853,0.455,0.711,0.889,1.789,0.46,5.986,0.455
482,KR,Machinery and equipment n.e.c. (29),Tertiary,31,0.765,0.758,1.307,0.873,0.932,0.951,0.677,0.197,1.969,0.0
483,KR,Aluminium and aluminium products,Secondary,49,0.674,0.667,1.484,0.815,0.947,0.968,0.802,0.206,2.229,0.815
484,KR,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.489,0.478,2.046,0.682,0.889,0.938,1.232,0.317,3.428,0.682
485,KR,Copper products,Secondary,49,0.473,0.462,2.113,0.674,0.84,0.931,1.33,0.342,3.781,0.674
486,KR,"Lead, zinc and tin and products thereof",Secondary,49,0.363,0.35,2.756,0.468,0.904,0.941,1.359,0.349,3.892,0.373
487,KR,Other non-ferrous metal products,Secondary,49,0.266,0.25,3.764,0.43,0.815,0.905,1.729,0.444,5.633,0.43
488,KR,Precious metals,Secondary,49,0.287,0.272,3.486,0.5,0.732,0.84,1.854,0.476,6.384,0.5
489,KR,Aluminium ores and concentrates,Primary,19,0.387,0.353,2.583,0.597,0.796,0.928,1.428,0.485,4.172,0.0
490,KR,Copper ores and concentrates,Primary,27,0.33,0.305,3.026,0.545,0.777,0.868,1.663,0.505,5.274,0.0
491,KR,"Lead, zinc and tin ores and concentrates",Primary,31,0.204,0.177,4.912,0.356,0.676,0.82,1.966,0.573,7.145,0.049
492,KR,Nickel ores and concentrates,Primary,23,0.974,0.973,1.026,0.987,0.995,0.998,0.09,0.029,1.094,0.987
493,KR,Other non-ferrous metal ores and concentrates,Primary,35,0.359,0.34,2.786,0.54,0.871,0.957,1.397,0.393,4.043,0.225
494,KR,Precious metal ores and concentrates,Primary,29,0.475,0.456,2.106,0.673,0.859,0.932,1.272,0.378,3.568,0.673
495,BR,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.369,0.351,2.71,0.577,0.827,0.896,1.509,0.421,4.522,0.577
496,BR,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.201,0.184,4.979,0.394,0.637,0.764,2.13,0.547,8.416,0.052
497,BR,Machinery and equipment n.e.c. (29),Tertiary,31,0.788,0.781,1.269,0.886,0.952,0.965,0.598,0.174,1.818,0.0
498,BR,Aluminium and aluminium products,Secondary,49,0.307,0.293,3.254,0.41,0.847,0.934,1.534,0.394,4.638,0.359
499,BR,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.261,0.245,3.836,0.46,0.722,0.856,1.88,0.483,6.556,0.46
500,BR,Copper products,Secondary,49,0.274,0.259,3.646,0.424,0.784,0.87,1.776,0.456,5.908,0.424
501,BR,"Lead, zinc and tin and products thereof",Secondary,49,0.441,0.43,2.266,0.643,0.831,0.873,1.433,0.368,4.193,0.643
502,BR,Other non-ferrous metal products,Secondary,49,0.183,0.166,5.473,0.277,0.685,0.855,2.049,0.527,7.762,0.277
503,BR,Precious metals,Secondary,49,0.276,0.261,3.626,0.487,0.714,0.812,1.872,0.481,6.501,0.487
504,BR,Aluminium ores and concentrates,Primary,19,0.355,0.319,2.819,0.562,0.795,0.919,1.503,0.51,4.496,0.562
505,BR,Copper ores and concentrates,Primary,27,0.502,0.483,1.992,0.688,0.915,0.957,1.128,0.342,3.089,0.688
506,BR,"Lead, zinc and tin ores and concentrates",Primary,31,0.221,0.195,4.516,0.369,0.725,0.892,1.828,0.532,6.224,0.369
507,BR,Nickel ores and concentrates,Primary,23,0.243,0.208,4.119,0.414,0.735,0.858,1.787,0.57,5.969,0.414
508,BR,Other non-ferrous metal ores and concentrates,Primary,35,0.3,0.28,3.332,0.39,0.871,0.943,1.524,0.429,4.592,0.39
509,BR,Precious metal ores and concentrates,Primary,29,0.801,0.794,1.248,0.892,0.983,0.992,0.478,0.142,1.613,0.892
510,IN,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.701,0.693,1.426,0.833,0.95,0.977,0.74,0.206,2.095,0.833
511,IN,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.506,0.496,1.975,0.7,0.858,0.927,1.264,0.325,3.541,0.7
512,IN,Machinery and equipment n.e.c. (29),Tertiary,31,0.673,0.662,1.485,0.817,0.91,0.936,0.889,0.259,2.432,0.0
513,IN,Aluminium and aluminium products,Secondary,49,0.455,0.443,2.2,0.653,0.863,0.916,1.349,0.347,3.853,0.653
514,IN,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.525,0.515,1.906,0.713,0.884,0.928,1.227,0.315,3.41,0.713
515,IN,Copper products,Secondary,49,0.457,0.445,2.189,0.666,0.792,0.873,1.478,0.38,4.384,0.666
516,IN,"Lead, zinc and tin and products thereof",Secondary,49,0.273,0.257,3.669,0.461,0.765,0.89,1.759,0.452,5.808,0.185
517,IN,Other non-ferrous metal products,Secondary,49,0.132,0.114,7.568,0.244,0.561,0.718,2.385,0.613,10.864,0.149
518,IN,Precious metals,Secondary,49,0.19,0.173,5.261,0.395,0.594,0.716,2.297,0.59,9.946,0.395
519,IN,Aluminium ores and concentrates,Primary,19,0.473,0.444,2.115,0.669,0.883,0.942,1.229,0.417,3.418,0.669
520,IN,Copper ores and concentrates,Primary,27,0.166,0.134,6.009,0.329,0.561,0.765,2.14,0.649,8.5,0.023
521,IN,"Lead, zinc and tin ores and concentrates",Primary,31,0.242,0.217,4.126,0.373,0.801,0.932,1.696,0.494,5.45,0.222
522,IN,Nickel ores and concentrates,Primary,23,0.218,0.183,4.586,0.338,0.734,0.892,1.792,0.572,6.004,0.0
523,IN,Other non-ferrous metal ores and concentrates,Primary,35,0.176,0.151,5.692,0.308,0.635,0.84,2.088,0.587,8.066,0.308
524,IN,Precious metal ores and concentrates,Primary,29,0.167,0.137,5.981,0.284,0.624,0.823,2.092,0.621,8.104,0.284
525,MX,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.361,0.343,2.772,0.471,0.902,0.965,1.303,0.364,3.681,0.362
526,MX,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.527,0.517,1.898,0.669,0.964,0.987,0.876,0.225,2.401,0.669
527,MX,Machinery and equipment n.e.c. (29),Tertiary,31,0.975,0.974,1.026,0.987,0.994,0.996,0.096,0.028,1.101,0.0
528,MX,Aluminium and aluminium products,Secondary,49,0.585,0.576,1.711,0.754,0.911,0.976,0.969,0.249,2.634,0.754
529,MX,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.702,0.696,1.424,0.83,0.959,0.983,0.688,0.177,1.99,0.83
530,MX,Copper products,Secondary,49,0.305,0.291,3.276,0.481,0.795,0.904,1.65,0.424,5.209,0.251
531,MX,"Lead, zinc and tin and products thereof",Secondary,49,0.399,0.386,2.507,0.596,0.884,0.937,1.386,0.356,4.001,0.596
532,MX,Other non-ferrous metal products,Secondary,49,0.455,0.444,2.196,0.649,0.876,0.936,1.291,0.332,3.635,0.649
533,MX,Precious metals,Secondary,49,0.359,0.346,2.782,0.552,0.847,0.933,1.457,0.374,4.293,0.552
534,MX,Aluminium ores and concentrates,Primary,19,0.206,0.162,4.862,0.359,0.682,0.874,1.881,0.639,6.558,0.0
535,MX,Copper ores and concentrates,Primary,27,0.232,0.203,4.307,0.354,0.793,0.907,1.758,0.533,5.802,0.0
536,MX,"Lead, zinc and tin ores and concentrates",Primary,31,0.697,0.687,1.434,0.832,0.922,0.971,0.782,0.228,2.186,0.0
537,MX,Nickel ores and concentrates,Primary,23,0.258,0.225,3.872,0.456,0.697,0.837,1.762,0.562,5.826,0.0
538,MX,Other non-ferrous metal ores and concentrates,Primary,35,0.417,0.399,2.401,0.625,0.839,0.894,1.473,0.414,4.361,0.0
539,MX,Precious metal ores and concentrates,Primary,29,0.249,0.222,4.019,0.447,0.706,0.84,1.9,0.564,6.686,0.0
540,RU,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.729,0.721,1.372,0.851,0.922,0.963,0.744,0.208,2.105,0.002
541,RU,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.329,0.315,3.04,0.557,0.712,0.789,1.92,0.493,6.824,0.0
542,RU,Machinery and equipment n.e.c. (29),Tertiary,31,0.286,0.262,3.495,0.435,0.83,0.925,1.63,0.475,5.106,0.0
543,RU,Aluminium and aluminium products,Secondary,49,0.754,0.749,1.326,0.867,0.926,0.953,0.735,0.189,2.086,0.001
544,RU,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.294,0.279,3.4,0.44,0.803,0.855,1.778,0.457,5.916,0.002
545,RU,Copper products,Secondary,49,0.185,0.168,5.404,0.375,0.613,0.76,2.278,0.585,9.758,0.008
546,RU,"Lead, zinc and tin and products thereof",Secondary,49,0.844,0.841,1.185,0.918,0.957,0.969,0.486,0.125,1.626,0.0
547,RU,Other non-ferrous metal products,Secondary,49,0.408,0.396,2.449,0.508,0.915,0.936,1.224,0.315,3.402,0.001
548,RU,Precious metals,Secondary,49,0.268,0.253,3.73,0.454,0.772,0.835,1.887,0.485,6.6,0.002
549,RU,Aluminium ores and concentrates,Primary,19,0.242,0.2,4.132,0.332,0.783,0.874,1.761,0.598,5.818,0.001
550,RU,Copper ores and concentrates,Primary,27,0.382,0.359,2.616,0.575,0.867,0.958,1.347,0.409,3.845,0.0
551,RU,"Lead, zinc and tin ores and concentrates",Primary,31,0.462,0.444,2.166,0.665,0.835,0.924,1.325,0.386,3.763,0.0
552,RU,Nickel ores and concentrates,Primary,23,0.962,0.96,1.039,0.981,0.993,0.997,0.128,0.041,1.136,0.0
553,RU,Other non-ferrous metal ores and concentrates,Primary,35,0.46,0.444,2.175,0.651,0.88,0.93,1.287,0.362,3.622,0.0
554,RU,Precious metal ores and concentrates,Primary,29,0.8,0.793,1.25,0.891,0.978,0.991,0.483,0.144,1.621,0.0
555,AU,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.19,0.167,5.255,0.284,0.674,0.829,1.93,0.539,6.891,0.284
556,AU,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.144,0.126,6.96,0.242,0.568,0.773,2.246,0.577,9.45,0.036
557,AU,Machinery and equipment n.e.c. (29),Tertiary,31,0.655,0.644,1.526,0.805,0.905,0.931,0.935,0.272,2.548,0.0
558,AU,Aluminium and aluminium products,Secondary,49,0.258,0.242,3.88,0.453,0.724,0.852,1.845,0.474,6.326,0.453
559,AU,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.138,0.12,7.231,0.251,0.517,0.741,2.222,0.571,9.224,0.121
560,AU,Copper products,Secondary,49,0.125,0.106,8.026,0.173,0.468,0.716,2.251,0.578,9.496,0.161
561,AU,"Lead, zinc and tin and products thereof",Secondary,49,0.392,0.379,2.551,0.579,0.878,0.948,1.359,0.349,3.891,0.216
562,AU,Other non-ferrous metal products,Secondary,49,0.617,0.609,1.62,0.773,0.938,0.97,0.884,0.227,2.421,0.773
563,AU,Precious metals,Secondary,49,0.432,0.42,2.314,0.63,0.868,0.954,1.265,0.325,3.543,0.63
564,AU,Aluminium ores and concentrates,Primary,19,0.943,0.94,1.06,0.971,0.989,0.995,0.182,0.062,1.199,0.971
565,AU,Copper ores and concentrates,Primary,27,0.719,0.708,1.391,0.844,0.955,0.979,0.693,0.21,1.999,0.844
566,AU,"Lead, zinc and tin ores and concentrates",Primary,31,0.663,0.652,1.508,0.802,0.964,0.985,0.727,0.212,2.069,0.802
567,AU,Nickel ores and concentrates,Primary,23,0.879,0.873,1.138,0.937,0.991,0.996,0.315,0.1,1.37,0.937
568,AU,Other non-ferrous metal ores and concentrates,Primary,35,0.303,0.283,3.295,0.455,0.875,0.95,1.497,0.421,4.47,0.167
569,AU,Precious metal ores and concentrates,Primary,29,0.98,0.98,1.02,0.99,0.996,0.998,0.074,0.022,1.077,0.99
570,CH,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.201,0.178,4.981,0.333,0.68,0.783,2.114,0.59,8.282,0.0
571,CH,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.167,0.149,6.004,0.36,0.584,0.675,2.459,0.632,11.69,0.04
572,CH,Machinery and equipment n.e.c. (29),Tertiary,31,0.316,0.293,3.17,0.499,0.827,0.916,1.589,0.463,4.897,0.0
573,CH,Aluminium and aluminium products,Secondary,49,0.184,0.167,5.444,0.341,0.623,0.847,2.135,0.549,8.455,0.001
574,CH,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.183,0.166,5.463,0.326,0.684,0.824,2.169,0.557,8.749,0.001
575,CH,Copper products,Secondary,49,0.095,0.076,10.518,0.218,0.434,0.597,2.773,0.713,16.008,0.0
576,CH,"Lead, zinc and tin and products thereof",Secondary,49,0.304,0.29,3.288,0.519,0.725,0.803,1.911,0.491,6.758,0.001
577,CH,Other non-ferrous metal products,Secondary,49,0.173,0.156,5.78,0.35,0.626,0.745,2.319,0.596,10.169,0.001
578,CH,Precious metals,Secondary,49,0.164,0.146,6.103,0.331,0.604,0.743,2.31,0.594,10.079,0.159
579,CH,Aluminium ores and concentrates,Primary,19,0.354,0.318,2.822,0.566,0.773,0.872,1.574,0.535,4.826,0.0
580,CH,Copper ores and concentrates,Primary,27,0.548,0.531,1.824,0.69,0.972,0.985,0.83,0.252,2.294,0.0
581,CH,"Lead, zinc and tin ores and concentrates",Primary,31,0.131,0.102,7.646,0.225,0.553,0.73,2.317,0.675,10.144,0.0
582,CH,Nickel ores and concentrates,Primary,23,0.2,0.164,4.989,0.332,0.719,0.841,1.932,0.616,6.9,0.0
583,CH,Other non-ferrous metal ores and concentrates,Primary,35,0.245,0.223,4.077,0.42,0.755,0.837,1.901,0.535,6.69,0.0
584,CH,Precious metal ores and concentrates,Primary,29,0.148,0.118,6.739,0.298,0.572,0.726,2.291,0.68,9.889,0.0
585,TR,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.182,0.159,5.491,0.322,0.65,0.773,2.159,0.602,8.66,0.047
586,TR,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.158,0.141,6.323,0.315,0.583,0.739,2.372,0.61,10.722,0.315
587,TR,Machinery and equipment n.e.c. (29),Tertiary,31,0.336,0.314,2.979,0.54,0.796,0.848,1.674,0.487,5.332,0.001
588,TR,Aluminium and aluminium products,Secondary,49,0.418,0.406,2.392,0.631,0.795,0.88,1.552,0.399,4.719,0.631
589,TR,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.316,0.302,3.165,0.54,0.713,0.819,1.883,0.484,6.57,0.54
590,TR,Copper products,Secondary,49,0.116,0.098,8.622,0.193,0.528,0.691,2.554,0.656,12.857,0.193
591,TR,"Lead, zinc and tin and products thereof",Secondary,49,0.825,0.821,1.212,0.908,0.95,0.964,0.545,0.14,1.724,0.006
592,TR,Other non-ferrous metal products,Secondary,49,0.274,0.259,3.65,0.366,0.825,0.887,1.741,0.447,5.705,0.366
593,TR,Precious metals,Secondary,49,0.351,0.337,2.849,0.557,0.807,0.922,1.526,0.392,4.599,0.557
594,TR,Aluminium ores and concentrates,Primary,19,0.959,0.956,1.043,0.979,0.991,0.995,0.143,0.049,1.154,0.979
595,TR,Copper ores and concentrates,Primary,27,0.462,0.442,2.163,0.645,0.946,0.974,1.104,0.335,3.016,0.645
596,TR,"Lead, zinc and tin ores and concentrates",Primary,31,0.894,0.89,1.119,0.945,0.979,0.991,0.315,0.092,1.371,0.945
597,TR,Nickel ores and concentrates,Primary,23,0.827,0.819,1.209,0.908,0.963,0.989,0.462,0.147,1.587,0.908
598,TR,Other non-ferrous metal ores and concentrates,Primary,35,0.839,0.835,1.191,0.915,0.978,0.986,0.425,0.119,1.529,0.915
599,TR,Precious metal ores and concentrates,Primary,29,0.947,0.945,1.056,0.973,0.995,0.998,0.158,0.047,1.171,0.973
600,TW,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.156,0.132,6.417,0.27,0.627,0.78,2.259,0.63,9.574,0.27
601,TW,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.384,0.371,2.605,0.602,0.773,0.838,1.754,0.451,5.777,0.602
602,TW,Machinery and equipment n.e.c. (29),Tertiary,31,0.243,0.218,4.108,0.454,0.673,0.746,2.086,0.607,8.051,0.0
603,TW,Aluminium and aluminium products,Secondary,49,0.467,0.456,2.143,0.674,0.808,0.844,1.579,0.406,4.85,0.674
604,TW,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.297,0.283,3.362,0.528,0.684,0.761,2.085,0.536,8.043,0.528
605,TW,Copper products,Secondary,49,0.129,0.111,7.734,0.299,0.505,0.634,2.679,0.688,14.568,0.071
606,TW,"Lead, zinc and tin and products thereof",Secondary,49,0.35,0.336,2.859,0.526,0.832,0.874,1.628,0.418,5.096,0.526
607,TW,Other non-ferrous metal products,Secondary,49,0.078,0.059,12.846,0.15,0.403,0.526,2.886,0.742,17.92,0.039
608,TW,Precious metals,Secondary,49,0.074,0.055,13.462,0.112,0.313,0.485,2.82,0.725,16.784,0.007
609,TW,Aluminium ores and concentrates,Primary,19,0.994,0.994,1.006,0.997,0.999,0.999,0.026,0.009,1.027,0.997
610,TW,Copper ores and concentrates,Primary,27,0.915,0.912,1.093,0.956,0.992,0.995,0.242,0.073,1.273,0.956
611,TW,"Lead, zinc and tin ores and concentrates",Primary,31,0.985,0.984,1.016,0.992,0.997,0.998,0.061,0.018,1.063,0.992
612,TW,Nickel ores and concentrates,Primary,23,0.319,0.288,3.136,0.467,0.91,0.972,1.386,0.442,3.999,0.0
613,TW,Other non-ferrous metal ores and concentrates,Primary,35,0.449,0.433,2.225,0.659,0.799,0.869,1.476,0.415,4.377,0.659
614,TW,Precious metal ores and concentrates,Primary,29,0.97,0.969,1.031,0.985,0.994,0.997,0.108,0.032,1.114,0.985
615,NO,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.223,0.201,4.481,0.359,0.706,0.785,2.045,0.571,7.726,0.0
616,NO,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.116,0.097,8.64,0.234,0.475,0.667,2.545,0.654,12.746,0.001
617,NO,Machinery and equipment n.e.c. (29),Tertiary,31,0.277,0.252,3.616,0.451,0.783,0.918,1.666,0.485,5.289,0.003
