,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
82,DE,Other non-ferrous metal products,Secondary,49,0.354,0.341,2.823,0.576,0.752,0.83,1.779,0.457,5.926,0.576
83,DE,Precious metals,Secondary,49,0.17,0.152,5.89,0.301,0.62,0.75,2.246,0.577,9.453,0.301
84,DE,Aluminium ores and concentrates,Primary,19,0.148,0.1,6.772,0.237,0.601,0.772,2.166,0.736,8.726,0.0
85,DE,Copper ores and concentrates,Primary,27,0.645,0.631,1.551,0.799,0.888,0.937,0.946,0.287,2.575,0.0
86,DE,"Lead, zinc and tin ores and concentrates",Primary,31,0.163,0.135,6.129,0.308,0.615,0.757,2.199,0.641,9.02,0.308
87,DE,Nickel ores and concentrates,Primary,23,0.218,0.182,4.598,0.357,0.754,0.878,1.825,0.582,6.206,0.0
88,DE,Other non-ferrous metal ores and concentrates,Primary,35,0.289,0.268,3.458,0.455,0.779,0.851,1.754,0.493,5.776,0.455
89,DE,Precious metal ores and concentrates,Primary,29,0.144,0.113,6.951,0.283,0.571,0.709,2.322,0.69,10.196,0.0
90,DK,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.229,0.207,4.363,0.348,0.763,0.83,1.954,0.545,7.054,0.0
91,DK,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.215,0.198,4.661,0.426,0.618,0.762,2.241,0.576,9.403,0.006
92,DK,Machinery and equipment n.e.c. (29),Tertiary,31,0.454,0.436,2.204,0.656,0.833,0.927,1.331,0.388,3.785,0.0
93,DK,Aluminium and aluminium products,Secondary,49,0.267,0.252,3.744,0.467,0.743,0.834,1.944,0.5,6.987,0.002
94,DK,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.314,0.3,3.185,0.527,0.773,0.837,1.867,0.48,6.47,0.001
95,DK,Copper products,Secondary,49,0.117,0.098,8.576,0.279,0.472,0.599,2.684,0.69,14.639,0.0
96,DK,"Lead, zinc and tin and products thereof",Secondary,49,0.207,0.19,4.839,0.371,0.698,0.811,2.11,0.542,8.246,0.0
