Shock_Industry,Shock_Country,Shock_Output_EUR,abs_AT_EUR,abs_BE_EUR,abs_BG_EUR,abs_CY_EUR,abs_CZ_EUR,abs_DE_EUR,abs_DK_EUR,abs_EE_EUR,abs_ES_EUR,abs_FI_EUR,abs_FR_EUR,abs_GR_EUR,abs_HR_EUR,abs_HU_EUR,abs_IE_EUR,abs_IT_EUR,abs_LT_EUR,abs_LU_EUR,abs_LV_EUR,abs_MT_EUR,abs_NL_EUR,abs_PL_EUR,abs_PT_EUR,abs_RO_EUR,abs_SE_EUR,abs_SI_EUR,abs_SK_EUR,abs_GB_EUR,abs_US_EUR,abs_JP_EUR,abs_CN_EUR,abs_CA_EUR,abs_KR_EUR,abs_BR_EUR,abs_IN_EUR,abs_MX_EUR,abs_RU_EUR,abs_AU_EUR,abs_CH_EUR,abs_TR_EUR,abs_TW_EUR,abs_NO_EUR,abs_ID_EUR,abs_ZA_EUR,abs_WA_EUR,abs_WL_EUR,abs_WE_EUR,abs_WF_EUR,abs_WM_EUR
Other non-ferrous metal products,WA,9486.67232633,-0.15340700648672037,-0.12708368459788363,-0.08324821950553644,-0.043555533902004326,-0.04566964733269925,-0.14503273263328936,-0.12370314551653516,-0.10594988739214782,-0.09341344010919403,-0.09500200765749096,-0.12532736845615983,-0.09644351577778766,-0.05505315705087993,0.0,-0.1352027205754148,-0.21520534284382686,-0.23839069541759744,-0.1261144267849342,0.0,-0.04880543350153347,-0.14815226146201751,-0.08731103895209838,-0.04703606605221848,-0.046648633312435434,-0.058420957308951874,-0.07665228231081116,-0.024534162017401256,-0.3468208180979859,-0.07247270750517937,-0.42685208463757773,-0.12581105693263447,-0.12287593238705641,-0.35426838058894283,-0.07977144291738207,-0.037197469738426144,-0.03551593763825263,-0.037093659889099205,-0.601072929204437,-0.1528616243585336,0.0,-1.312742298982769,0.0,0.0,-0.3120023450668057,-0.2886159202809575,-0.21567008803382787,0.0,-0.02470942523282298,-0.04924006301977306
Other non-ferrous metal products,WE,1511.22181059,-0.013793175043710547,-0.008069239481280053,-0.021741310330457415,-0.0040992977383401035,-0.008294380982249485,-0.009170830215421326,-0.00778014335065869,-0.07321523779065699,-0.005288096727951097,-0.00541543908684667,-0.0037613579490708648,-0.04252603947994456,-0.3423402895321394,0.0,-0.0054282858316496195,-0.012677002447401244,-0.06605755186115567,-0.006194980967440299,0.0,-0.0031381296489557432,-0.008941871671078225,-0.016122443199968608,-0.0044550357370580565,-0.031967487082366415,-0.0038751303902218774,-0.05732664173368908,-0.008752925248637668,-0.009997293429539625,-0.0006303975423975368,-0.0008024278353377597,-0.0017046711667112434,-0.0024567064583378337,-0.0009813189823832734,-0.0018474360007439332,-0.0002588593604964623,-0.0004230603518794509,-0.00018445322677370683,-0.003444714481256194,-0.0038573110073975483,0.0,-0.024560397131743104,0.0,0.0,-0.003345732657572803,-0.0051131120752249595,-0.0013593780816046324,0.0,-0.0007471752715900962,-0.0004999583896277331
Other non-ferrous metal products,WF,3609.65326055,-0.022755690196201293,-0.12663285898048482,-0.08125797159105942,-0.03786147059672352,-0.02405471137962977,-0.0312256349743186,-0.03625500280326556,-0.0494357937419075,-0.14699982110353618,-0.032168704799521365,-0.1820611322828829,-0.3538526804775479,-0.037998044548585116,0.0,-0.04680439719149034,-0.07169956455353911,-0.10144833327102414,-0.07767255386867002,0.0,-0.04967287899267963,-0.07006535922194693,-0.022607350127002178,-0.20683270940275755,-0.03913526437352839,-0.022333140687549418,-0.0269101291710987,-0.011218076369908946,-0.0708912451865816,-0.010917354963582336,-0.009001600390647969,-0.028001646492404417,-0.029709227721535933,-0.028443444935606316,-0.020254938042210395,-0.008976076095902407,-0.004725865102468137,-0.0011930285455007685,-0.06598627714002898,-0.027796685146555943,0.0,-0.07351796597332101,0.0,0.0,-0.4112686544553266,-0.05724329939234803,-0.028782066350468927,0.0,-1.4179965682082154,-0.020552137444441253
Other non-ferrous metal products,WL,2577.23934263,-0.006744464209136014,-0.0108461922919192,-0.00597091441982863,-0.008742573696437841,-0.0054134839222599795,-0.009826893701584656,-0.021839993725784834,-0.012319448799671362,-0.026325534228511638,-0.00784438611606814,-0.010842631911360721,-0.008639204554729071,-0.006709432621774616,0.0,-0.01641945485097584,-0.010765245275319964,-0.008562346386299399,-0.017663650227744715,0.0,-0.019309432151680076,-0.011652044335443559,-0.006003235008786306,-0.015596277688200861,-0.005164815173467296,-0.006542201050673476,-0.005634293568366217,-0.005220501456718606,-0.010110698878440854,-0.010905604944505062,-0.005222518558339902,-0.007371370286605628,-0.01123370481629494,-0.009706655547760987,-0.1256752399422149,-0.0016555594532499146,-0.0143660073254717,-0.000870337703305299,-0.009354328020022272,-0.009484079934962097,0.0,-0.02277148327185031,0.0,0.0,-0.009428576276540713,-0.011737562640119844,-0.8504722595871298,0.0,-0.0027441616863920527,-0.0017276445402740145
Other non-ferrous metal products,WM,4831.48508522,-0.033748573312727306,-0.05241725048769328,-0.050236750837742844,-0.04419078779216046,-0.021216894391733708,-0.043878256759830266,-0.02833548346097866,-0.04306023188261328,-0.04745971359060497,-0.026649126596669983,-0.04177930473569115,-0.056998171116244244,-0.021756844279873157,0.0,-0.039339156473228,-0.09797296753929174,-0.03645797199030588,-0.04880237919509629,0.0,-0.022977123501239375,-0.03557708476788163,-0.03426608542915889,-0.028605789532714535,-0.054483902698869685,-0.015583649122427986,-0.026626228851226886,-0.0098691232258263,-0.0921973526449343,-0.015843124972525616,-0.03349588639432987,-0.01473044672903529,-0.025262834011166427,-0.02799741101036045,-0.022069718367690765,-0.009681684454596643,-0.0051314499341000245,-0.0005677953193342496,-0.0949473182956719,-0.06450650873632091,0.0,-0.26111842556611686,0.0,0.0,-0.07656684372677389,-0.02681024417205892,-0.027840223480088393,0.0,-0.013431361383676886,-0.11296286279882332
Other non-ferrous metal products,ZA,470.138662608,-0.002480231269804202,-0.0054376713624743915,-0.003632681925606949,-0.0005960455363052125,-0.00221259069291711,-0.004747079023681082,-0.004947540109612877,-0.0029184592389679734,-0.004766108386481407,-0.00912565214950571,-0.00477813204382752,-0.006820761048239658,-0.001773027029248663,0.0,-0.011940584039594065,-0.015613032850928514,-0.004406046812580312,-0.007427924299363436,0.0,-0.006971042121146777,-0.003627414149812195,-0.0029316610660832213,-0.008978277392902877,-0.0024572665399102836,-0.0034911017798523927,-0.0019468376548482799,-0.0010421401213407755,-0.003826869874028124,-0.0009817693055008685,-0.0012478905856501139,-0.004521843990076339,-0.001026824649464697,-0.00112128752013293,-0.006118151851758776,-0.001032709612962295,-0.0003674042023152478,-0.00023896695121176958,-0.008958843249172985,-0.0026446438208825745,0.0,-0.00796628134928107,0.0,0.0,-3.1200111974252387,-0.010745926029920081,-0.001711402789712761,0.0,-0.16489362394438672,-0.002083809446876091
Precious metal ores and concentrates,AT,0.224596926339,-1.0003390776784867e-05,-2.026490299359828e-08,-1.2734171924276524e-08,-3.5601354836480656e-09,-5.211650952908482e-08,-4.5606694111810044e-08,-1.3650505061416138e-08,-1.2316633803987804e-08,-8.411922609347324e-09,-7.2407503075093275e-09,-1.166558626354261e-08,-2.476368195041054e-08,-5.927265274162518e-08,0.0,-2.0147562573675052e-08,-1.649963911914027e-08,-1.6936078399565626e-08,-9.689053402143035e-08,0.0,-2.4066062430931624e-08,-2.0552354907181685e-08,-2.0688718693439854e-08,-9.80270085431771e-09,-2.6123352054114895e-08,-8.026385329972682e-09,-3.823441974959342e-08,-6.170397677064688e-08,-1.0107006475651506e-08,-1.3676276889215205e-09,-9.752626500921976e-10,-1.3722498821376204e-09,-2.977605318190419e-09,-1.4496286575701093e-09,-1.613979896349785e-09,-8.150991959611091e-10,-1.064707330716912e-09,-2.091890448070973e-09,-3.297207630353502e-09,-2.7931357175465808e-08,0.0,-2.5096192577373387e-09,0.0,0.0,-2.9900800084059435e-09,-7.50493753374566e-09,-2.043521244795921e-09,0.0,-2.8071313210079077e-09,-1.0039002767137897e-09
Precious metal ores and concentrates,AU,16535.068323,-0.0024008040682730377,-0.0031174799405742385,-0.0015871470654923996,-0.0006944225076789588,-0.001478295926724429,-0.0026643682840098736,-0.003403059847737313,-0.0029701617384071807,-0.002614402605515254,-0.002225386766470381,-0.0031214807981560645,-0.003922600020263536,-0.0015259749208892859,0.0,-0.005888419965160808,-0.002159962164885965,-0.0023754086437563454,-0.004391088278039425,0.0,-0.0025041458227364195,-0.0033035239705840502,-0.001785505650653415,-0.002319349170472407,-0.001293087118244383,-0.002290675649639978,-0.0024169269683936697,-0.0007926764186633884,-0.004477391226136196,-0.0015176719682611847,-0.0025569388652387096,-0.0030174371781844364,-0.0012512858074189255,-0.002480191185714357,-0.0009780508109479933,-0.0005405494007937154,-0.000520468084745503,-0.00013668243773566223,-4.62047255628201,-0.0026874397780692837,0.0,-0.007889824695798481,0.0,0.0,-0.005746880929946203,-0.016544781233142618,-0.0030969577938586455,0.0,-0.0007528068103440133,-0.0007899905892422498
Precious metal ores and concentrates,BE,0.0596354797942,-1.81695876798313e-07,-4.385091515694329e-05,-1.9235325690519322e-07,-3.8901608146820384e-08,-2.486563067210844e-07,-3.646582677068211e-07,-2.404862140907938e-07,-2.358443942771103e-07,-1.7345470084986348e-07,-2.1558995643983767e-07,-7.339361888326692e-07,-5.738734722633902e-07,-1.4310386973600105e-07,0.0,-7.093409620800055e-07,-1.302488764021496e-07,-1.9511497859023933e-07,-4.1884620325924143e-07,0.0,-1.4529114292220184e-07,-6.914473614397851e-07,-3.3031943222216045e-07,-3.4781580783895663e-07,-2.0124805047546712e-07,-1.824733085064125e-07,-1.2080540391538102e-07,-1.4209396024017417e-07,-2.406307767229018e-07,-8.829082192261714e-08,-4.998419915649316e-08,-1.5792363085115552e-07,-7.023028944505957e-08,-4.318263657623691e-08,-5.99653742557325e-08,-3.568147597183042e-08,-3.604730616508891e-08,-7.51177126758444e-09,-8.184431052438035e-08,-3.0480836127424833e-07,0.0,-1.9544971627120938e-07,0.0,0.0,-1.8652694375020696e-07,-3.0068396572298715e-06,-7.962139477952374e-08,0.0,-2.0024370663223687e-07,-1.0317026065001722e-07
Precious metal ores and concentrates,BG,219.383484118,-0.00016769087681721827,-0.00023856691553715342,-0.5747468553195704,-1.7912698627502106e-05,-0.00015259418046107133,-0.00017483200948657327,-0.0002541518118094287,-0.0003111165661324313,-0.00011946644783222196,-8.393490956797714e-05,-0.00015295664577891644,-0.003705354432927682,-0.0005326230264798873,0.0,-0.000540618770163828,-0.0001865055592493821,-0.00026075148044735387,-0.0005415971309123897,0.0,-0.0005790449551354856,-0.00017736384721686143,-0.00025161365575814834,-0.00011369072214585031,-0.001291153910776336,-7.477943441020996e-05,-0.0002492438689548537,-0.00016497697394460373,-0.00013594229872115324,-1.802985711251295e-05,-1.163577198754151e-05,-2.5440924495792485e-05,-6.813558963207804e-05,-1.8470293307824454e-05,-2.2468009640503814e-05,-3.58651893060141e-05,-2.8120529461413184e-05,-8.633041446021415e-06,-0.00014703926470637183,-0.00022100012220882152,0.0,-5.251966802539844e-05,0.0,0.0,-7.361057376901634e-05,-0.00013869025402043537,-3.388611051569495e-05,0.0,-7.453205639663665e-05,-2.2498886671336983e-05
Precious metal ores and concentrates,BR,1277.13264863,-0.00022365984454539192,-0.000379759682583696,-0.00012907057133540171,-0.00012098811353231236,-0.00015359702486207374,-0.0002806821076466388,-0.000302537129759243,-0.00017962041652514084,-0.0003340749315089506,-0.00017295514766714988,-0.00033262369166916236,-0.0001929145666733704,-0.0001374832017145414,0.0,-0.000385569188848422,-0.00023326357737023045,-0.0001125564527571354,-0.0005334500258968434,0.0,-0.00026370925944562345,-0.0004634785692041823,-0.00015162611393318155,-0.0003609447060486597,-0.00012369030387102817,-0.0001700760716288137,-0.0002572420522676245,-8.18463971956917e-05,-0.0002323005397929524,-0.0001868468907725518,-0.00012368646046687716,-0.0002866598493943209,-0.00012625520264285739,-0.00022221289664975068,-0.09309801668704487,-4.978152267901117e-05,-0.00013331415347378196,-1.3489704647802733e-05,-0.0007439653815175599,-0.00023418002574432937,0.0,-0.0006116527391731006,0.0,0.0,-0.0005571209169818885,-0.0004569456268847761,-0.003147331955573885,0.0,-0.0001635118718528771,-5.900932323707677e-05
Precious metal ores and concentrates,CA,1002.65544268,-0.00021773437041760208,-0.00031428077350943473,-0.00017618389374314934,-4.8345702477735804e-05,-0.0001651823682761616,-0.0002791698771071534,-0.0002527383364175672,-0.00018528352169460435,-0.00023674508944171208,-0.00014913194258074004,-0.00032872731711971077,-0.00021460829913676598,-0.00011940877816349578,0.0,-0.00037960496642490594,-0.000186488088500632,-0.0001279234353391375,-0.0003749723627364625,0.0,-0.00011588862828982362,-0.00021291018754831926,-0.00014752787852094382,-0.0002821624688463735,-0.00013340851203305976,-0.00020279190550062955,-0.0003291471820176774,-7.990932579804885e-05,-0.0005295569934163318,-0.0007821384717085076,-0.0001311869869867277,-0.00014282321901460304,-0.175394729281705,-0.00024742692789960755,-0.0004720140230907925,-3.631536445599526e-05,-0.0006184070991901411,-9.424936831792824e-06,-0.0002722887387112412,-0.00020676920100521037,0.0,-0.0007509614147701054,0.0,0.0,-0.00028532396834362326,-0.0005111467318024851,-0.00043866734999267016,0.0,-5.2800212466208936e-05,-3.2804518132706586e-05
Precious metal ores and concentrates,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precious metal ores and concentrates,CN,31293.5798994,-0.020264603362379886,-0.026459119575144678,-0.042642344440536134,-0.007341902376450141,-0.0183761243557187,-0.03377285621638633,-0.02449683419123766,-0.01686747722210692,-0.03883805612886369,-0.027547501705920237,-0.026514241312950118,-0.01209112169729975,-0.01506796845932309,0.0,-0.024209923891279413,-0.01624644575191332,-0.016867435330341685,-0.03108713738787426,0.0,-0.011524168314288192,-0.016628978023533386,-0.014672295727097563,-0.015303836135926919,-0.018962948640615956,-0.01520376630554292,-0.018146261760797235,-0.008698038249529933,-0.024358816059914037,-0.011566361081788414,-0.05212583727034831,-0.3553670686762504,-0.02757824035151072,-0.05617437223741584,-0.034897495374024014,-0.003530940120436478,-0.03055469045479267,-0.0010877543585027184,-0.17718085903552022,-0.02146574374280216,0.0,-0.021430616417803285,0.0,0.0,-0.07986479291012472,-0.13477950323633758,-4.605529212266955,0.0,-0.010767263800040039,-0.014872431723726818
Precious metal ores and concentrates,CY,0.0011773021885,-5.820612239438263e-12,-1.794373134875295e-11,-9.102265869927465e-12,-7.10557220147041e-07,-7.461127737692962e-12,-9.55885544437681e-12,-1.0306281353374953e-11,-1.0902439723799836e-11,-1.1122235802380546e-11,-7.140111519556997e-12,-1.2521023851341602e-11,-1.4050773025044384e-11,-6.1596538456039794e-12,0.0,-5.328407471168821e-10,-1.1743067868932965e-11,-1.1142562388134904e-11,-6.863804857526933e-10,0.0,-8.488440299388613e-10,-3.2383544768776904e-11,-6.369397511359266e-12,-1.0177976563352077e-11,-8.675053387729134e-12,-5.583802951601798e-12,-4.414491022058013e-12,-2.989488462399468e-12,-3.290056529928366e-11,-4.294193076203251e-12,-6.362897779101114e-12,-6.0628915492445885e-12,-4.495230737148596e-12,-7.815807756652293e-12,-5.3914067765778726e-12,-3.6426919005369375e-12,-1.2462717271266017e-12,-1.0632361858865925e-12,-1.5580025051777106e-11,-1.0789814413691907e-11,0.0,-2.338963447184168e-11,0.0,0.0,-1.7237579176927592e-11,-2.342817073342308e-10,-9.018602062307703e-12,0.0,-1.6012927061388538e-11,-6.925250880495762e-11
