Shock_Industry,Shock_Country,Has_Shock_Label,Has_Solar_Label
Aluminium ores and concentrates,"('BE', 'Ash for treatment, Re-processing of ash into clinker')",False,False
Aluminium ores and concentrates,"('BE', 'Other non-metallic mineral products')",False,False
Aluminium ores and concentrates,"('BE', 'Basic iron and steel and of ferro-alloys and first products thereof')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary steel for treatment, Re-processing of secondary steel into new steel')",False,False
Aluminium ores and concentrates,"('BE', 'Precious metals')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals')",False,False
Aluminium ores and concentrates,"('BE', 'Aluminium and aluminium products')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium')",False,False
Aluminium ores and concentrates,"('BE', 'Lead, zinc and tin and products thereof')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary lead for treatment, Re-processing of secondary lead into new lead')",False,False
Aluminium ores and concentrates,"('BE', 'Copper products')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary copper for treatment, Re-processing of secondary copper into new copper')",False,False
Aluminium ores and concentrates,"('BE', 'Other non-ferrous metal products')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals')",False,False
Aluminium ores and concentrates,"('BE', 'Foundry work services')",False,False
Aluminium ores and concentrates,"('BE', 'Fabricated metal products, except machinery and equipment (28)')",False,False
Aluminium ores and concentrates,"('BE', 'Machinery and equipment n.e.c. (29)')",False,False
Aluminium ores and concentrates,"('BE', 'Office machinery and computers (30)')",False,False
Aluminium ores and concentrates,"('BE', 'Electrical machinery and apparatus n.e.c. (31)')",False,False
Aluminium ores and concentrates,"('BE', 'Radio, television and communication equipment and apparatus (32)')",False,False
Aluminium ores and concentrates,"('BE', 'Medical, precision and optical instruments, watches and clocks (33)')",False,False
Aluminium ores and concentrates,"('BE', 'Motor vehicles, trailers and semi-trailers (34)')",False,False
Aluminium ores and concentrates,"('BE', 'Other transport equipment (35)')",False,False
Aluminium ores and concentrates,"('BE', 'Furniture; other manufactured goods n.e.c. (36)')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary raw materials')",False,False
Aluminium ores and concentrates,"('BE', 'Bottles for treatment, Recycling of bottles by direct reuse')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by coal')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by gas')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by nuclear')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by hydro')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by wind')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by petroleum and other oil derivatives')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by biomass and waste')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by solar photovoltaic')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by solar thermal')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by tide, wave, ocean')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity by Geothermal')",False,False
Aluminium ores and concentrates,"('BE', 'Electricity nec')",False,False
Aluminium ores and concentrates,"('BE', 'Transmission services of electricity')",False,False
Aluminium ores and concentrates,"('BE', 'Distribution and trade services of electricity')",False,False
Aluminium ores and concentrates,"('BE', 'Coke oven gas')",False,False
Aluminium ores and concentrates,"('BE', 'Blast Furnace Gas')",False,False
Aluminium ores and concentrates,"('BE', 'Oxygen Steel Furnace Gas')",False,False
Aluminium ores and concentrates,"('BE', 'Gas Works Gas')",False,False
Aluminium ores and concentrates,"('BE', 'Biogas')",False,False
Aluminium ores and concentrates,"('BE', 'Distribution services of gaseous fuels through mains')",False,False
Aluminium ores and concentrates,"('BE', 'Steam and hot water supply services')",False,False
Aluminium ores and concentrates,"('BE', 'Collected and purified water, distribution services of water (41)')",False,False
Aluminium ores and concentrates,"('BE', 'Construction work (45)')",False,False
Aluminium ores and concentrates,"('BE', 'Secondary construction material for treatment, Re-processing of secondary construction material into aggregates')",False,False
Aluminium ores and concentrates,"('BE', 'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries')",False,False
Aluminium ores and concentrates,"('BE', 'Retail trade services of motor fuel')",False,False
Aluminium ores and concentrates,"('BE', 'Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)')",False,False
Aluminium ores and concentrates,"('BE', 'Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)')",False,False
Aluminium ores and concentrates,"('BE', 'Hotel and restaurant services (55)')",False,False
Aluminium ores and concentrates,"('BE', 'Railway transportation services')",False,False
Aluminium ores and concentrates,"('BE', 'Other land transportation services')",False,False
Aluminium ores and concentrates,"('BE', 'Transportation services via pipelines')",False,False
Aluminium ores and concentrates,"('BE', 'Sea and coastal water transportation services')",False,False
Aluminium ores and concentrates,"('BE', 'Inland water transportation services')",False,False
